2022-02-24 16:26:35 [scrapy.utils.log] INFO: Scrapy 2.5.1 started (bot: naver_land)
2022-02-24 16:26:35 [scrapy.utils.log] INFO: Versions: lxml 4.6.3.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 21.7.0, Python 3.8.8 (default, Apr 13 2021, 19:58:26) - [GCC 7.3.0], pyOpenSSL 20.0.1 (OpenSSL 1.1.1k  25 Mar 2021), cryptography 3.4.7, Platform Linux-5.10.16.3-microsoft-standard-WSL2-x86_64-with-glibc2.10
2022-02-24 16:26:35 [scrapy.utils.log] DEBUG: Using reactor: twisted.internet.epollreactor.EPollReactor
2022-02-24 16:26:35 [scrapy.crawler] INFO: Overridden settings:
{'BOT_NAME': 'naver_land',
 'LOG_FILE': 'naver_land.log',
 'NEWSPIDER_MODULE': 'naver_land.spiders',
 'SPIDER_MODULES': ['naver_land.spiders']}
2022-02-24 16:26:35 [scrapy.extensions.telnet] INFO: Telnet Password: 0b9ff3a787b5b876
2022-02-24 16:26:35 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
2022-02-24 16:26:35 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2022-02-24 16:26:35 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2022-02-24 16:26:35 [scrapy.middleware] INFO: Enabled item pipelines:
['naver_land.pipelines.NaverLandPipeline']
2022-02-24 16:26:35 [scrapy.core.engine] INFO: Spider opened
2022-02-24 16:26:35 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2022-02-24 16:26:35 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6027
2022-02-24 16:26:36 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://new.land.naver.com/api/regions/list?cortarNo=1168000000> (referer: None)
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/regions/complexes?cortarNo=1168010300 HTTP/1.1" 200 None
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/overview/146479?complexNo=146479 HTTP/1.1" 200 1145
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=A1&year=5&priceChartChange=true&areaNo=1&type=table HTTP/1.1" 200 109
2022-02-24 16:26:36 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=B1&year=5&priceChartChange=true&areaNo=1&type=table HTTP/1.1" 200 109
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=B2&year=5&priceChartChange=true&areaNo=1&type=table HTTP/1.1" 200 109
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=A1&year=5&priceChartChange=true&areaNo=2&type=table HTTP/1.1" 200 109
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=B1&year=5&priceChartChange=true&areaNo=2&type=table HTTP/1.1" 200 109
2022-02-24 16:26:37 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
2022-02-24 16:26:38 [urllib3.connectionpool] DEBUG: https://new.land.naver.com:443 "GET /api/complexes/146479/prices/real?complexNo=146479&tradeType=B2&year=5&priceChartChange=true&areaNo=2&type=table HTTP/1.1" 200 109
2022-02-24 16:26:38 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): new.land.naver.com:443
